# Table format: T3D
# table_unit = g/h
# axis1_unit = mg
# axis2_unit = rpm
# axis3_unit = 
   0.3   4
      2000  2
         7   4.8
         10  12.0
      3000  3
         10  42.0
         15  72.0
         20  84.0
      4000  3
         10  65.0
         15  80.0
         20  95.0
      5000 2
         10 70.0
         15 90.0
   0.6  5
      1000  4
        15  5.0
        18  10.0
        25  40.0
        30  72.0
      2000  4
        20  25.0
        45  270.0
        50  290.0
        65  360.0
      3000  4
        40  280.0
        45  360.0
        55  440.0
        60  530.0
      4000  4
        45  380.0
        50  420.0
        55  440.0
        60  520.0
      5000 3
        40  725.0
        45  660.0
        50  720.0
   0.7   3
      1000  3
         20  18.0
         26  65.0
         39  75.0
      2000  6
         26  8.0
         30  90.0
         32  60.0
         40  113.0
         58  360.0
         60  381.0
      3000  3
         65  126.0
         66  132.0
         68  134.0
   0.8   3
      1500  3
         48  265.0
         51  270.0
         55  250.0
      1750  2
         62  320.0
         65  300.0
      2000  2
         66  312.0
         68  366.0
   0.9   4
      1000  2
         38  75.0
         39  77.0
      1250  2
         41  130.0
         46  185.0
      1500  2
         58  231.6
         59  234.0
      1750  2
         70  270.0
         71  272.0
   
