# Table format: T3D
# table_unit = g/h
# axis1_unit = mg
# axis2_unit = rpm
# axis3_unit = 
   0.3   4
      2000  2
         7   1.2
         10  3.6
      3000  3
         10  12.0
         15  18.0
         20  24.0
      4000  3
         10  18.0
         15  18.0
         20  24.0
      5000 2
         10  18.0
         15  24.0
   0.6  5
      1000  4
        15  1.2
        18  2.4
        25  11.4
        30  18.6
      2000  4
        20  6.0
        45  65.0
        50  75.0
        65  91.0
      3000  4
        40  70.0
        45  85.0
        55  110.0
        60  122.0
      4000  4
        45  95.0
        50  106.0
        55  110.0
        60  135.0
      5000 3
        40  175.0
        45  175.0
        50  180.0
   0.7   3
      1000  3
         20  4.2
         26  16.2
         39  18.6
      2000  6
         26  8.0
         30  90.0
         32  14.4
         40  28.2
         58  90.0
         60  95.0
      3000  3
         65  125.0
         66  135.0
         68  130.0
   0.8   3
      1500  3
         48  65.0
         51  68.0
         55  64.0
      1750  2
         62  80.0
         65  76.0
      2000  2
         66  78.0
         68  92.0
   0.9   4
      1000  2
         38  18.0
         39  18.0
      1250  2
         41  46.0
         46  32.0
      1500  2
         58  59.0
         59  58.0
      1750  2
         70  66.0
         71  68.0
   
