# Table format: 1D
# AnglePCyl 	PCyl_raw
0  1.12979
0.25  1.13106
0.45  1.13221
0.65  1.13323
0.85  1.13412
1.05  1.13488
1.25  1.13552
1.45  1.13607
1.65  1.13656
1.85  1.137
2.05  1.13743
2.25  1.13789
2.45  1.13839
2.65  1.13895
2.85  1.1396
3.05  1.14033
3.25  1.14115
3.45  1.14205
3.65  1.14302
3.85  1.14405
4.05  1.14512
4.25  1.14621
4.45  1.14731
4.65  1.14841
4.85  1.1495
5.05  1.15056
5.25  1.15161
5.45  1.15264
5.65  1.15366
5.85  1.15469
6.05  1.15573
6.25  1.15681
6.45  1.15794
6.65  1.15912
6.85  1.16038
7.05  1.16173
7.25  1.16316
7.45  1.16467
7.65  1.16628
7.85  1.16796
8.05  1.16971
8.25  1.17152
8.45  1.17337
8.65  1.17524
8.85  1.17713
9.05  1.17901
9.25  1.18089
9.45  1.18274
9.65  1.18458
9.85  1.18639
10.05  1.18817
10.25  1.18994
10.45  1.19171
10.65  1.19349
10.85  1.19529
11.05  1.19712
11.25  1.19901
11.45  1.20096
11.65  1.203
11.85  1.20511
12.05  1.20732
12.25  1.20961
12.45  1.21199
12.65  1.21444
12.85  1.21695
13.05  1.2195
13.25  1.22207
13.45  1.22463
13.65  1.22715
13.85  1.2296
14.05  1.23197
14.25  1.23422
14.45  1.23633
14.65  1.23829
14.85  1.24008
15.05  1.2417
15.25  1.24315
15.45  1.24442
15.65  1.24553
15.85  1.24649
16.05  1.2473
16.25  1.24799
16.45  1.24857
16.65  1.24904
16.85  1.24942
17.05  1.24971
17.25  1.24991
17.45  1.25002
17.65  1.25002
17.85  1.2499
18.05  1.24965
18.25  1.24924
18.45  1.24866
18.65  1.2479
18.85  1.24692
19.05  1.24573
19.25  1.24431
19.45  1.24267
19.65  1.24081
19.85  1.23873
20.05  1.23647
20.25  1.23402
20.45  1.23143
20.65  1.2287
20.85  1.22587
21.05  1.22295
21.25  1.21996
21.45  1.21692
21.65  1.21383
21.85  1.21069
22.05  1.20751
22.25  1.20426
22.45  1.20093
22.65  1.19752
22.85  1.19399
23.05  1.19035
23.25  1.18656
23.45  1.18263
23.65  1.17855
23.85  1.17433
24.05  1.16996
24.25  1.16548
24.45  1.1609
24.65  1.15626
24.85  1.15158
25.05  1.1469
25.25  1.14226
25.45  1.13769
25.65  1.13322
25.85  1.12887
26.05  1.12468
26.25  1.12065
26.45  1.1168
26.65  1.11312
26.85  1.10961
