# Table format: 1D 
# AnglePCyl 	PCylMoy_Brute 
0.000000 	1.338250 
1.000000 	1.330000 
2.000000 	1.316500 
3.000000 	1.303750 
4.000000 	1.296750 
5.000000 	1.284500 
6.000000 	1.271750 
7.000000 	1.251500 
8.000000 	1.227750 
9.000000 	1.207750 
10.000000 	1.184250 
11.000000 	1.157250 
12.000000 	1.127750 
13.000000 	1.093750 
14.000000 	1.061750 
15.000000 	1.031250 
16.000000 	0.998000 
17.000000 	0.960750 
18.000000 	0.918500 
19.000000 	0.878250 
20.000000 	0.835250 
21.000000 	0.796750 
22.000000 	0.761500 
23.000000 	0.725000 
24.000000 	0.693250 
25.000000 	0.658750 
26.000000 	0.630000 
27.000000 	0.604500 
28.000000 	0.581750 
29.000000 	0.562500 
30.000000 	0.545000 
31.000000 	0.530750 
32.000000 	0.518750 
33.000000 	0.507750 
34.000000 	0.497750 
35.000000 	0.484250 
36.000000 	0.469750 
37.000000 	0.457750 
38.000000 	0.443250 
39.000000 	0.430500 
40.000000 	0.420250 
41.000000 	0.411500 
42.000000 	0.405750 
43.000000 	0.401000 
44.000000 	0.396250 
45.000000 	0.395000 
46.000000 	0.389750 
47.000000 	0.381000 
48.000000 	0.380250 
49.000000 	0.378500 
50.000000 	0.369750 
51.000000 	0.359250 
52.000000 	0.358500 
53.000000 	0.356250 
54.000000 	0.353750 
55.000000 	0.350250 
56.000000 	0.346500 
57.000000 	0.347500 
58.000000 	0.346250 
59.000000 	0.346500 
60.000000 	0.341750 
61.000000 	0.340000 
62.000000 	0.343250 
63.000000 	0.344000 
64.000000 	0.342500 
65.000000 	0.338250 
66.000000 	0.341750 
67.000000 	0.344750 
68.000000 	0.344750 
69.000000 	0.345750 
70.000000 	0.345750 
71.000000 	0.346500 
72.000000 	0.347500 
73.000000 	0.346250 
74.000000 	0.345500 
75.000000 	0.349000 
76.000000 	0.352000 
77.000000 	0.355750 
78.000000 	0.354250 
79.000000 	0.354250 
80.000000 	0.358250 
81.000000 	0.359250 
