# Table format: 1D
# AnglePCyl 	PCyl_raw
0  2.45148
0.25  2.44499
0.45  2.43757
0.65  2.42927
0.85  2.42021
1.05  2.41052
1.25  2.40038
1.45  2.39003
1.65  2.37972
1.85  2.36974
2.05  2.36038
2.25  2.35192
2.45  2.34462
2.65  2.33869
2.85  2.33426
3.05  2.33142
3.25  2.33013
3.45  2.3303
3.65  2.33172
3.85  2.3341
4.05  2.3371
4.25  2.34032
4.45  2.34333
4.65  2.3457
4.85  2.34704
5.05  2.34701
5.25  2.34535
5.45  2.34189
5.65  2.33658
5.85  2.32948
6.05  2.32076
6.25  2.31068
6.45  2.29961
6.65  2.28795
6.85  2.27615
7.05  2.26463
7.25  2.25381
7.45  2.24403
7.65  2.23555
7.85  2.22849
8.05  2.22289
8.25  2.21866
8.45  2.21556
8.65  2.21329
8.85  2.21143
9.05  2.20953
9.25  2.20709
9.45  2.20364
9.65  2.19875
9.85  2.19206
10.05  2.1833
10.25  2.17234
10.45  2.15917
10.65  2.14392
10.85  2.12686
11.05  2.10836
11.25  2.08891
11.45  2.06907
11.65  2.04944
11.85  2.03062
12.05  2.0132
12.25  1.99771
12.45  1.9846
12.65  1.97418
12.85  1.96666
13.05  1.9621
13.25  1.96039
13.45  1.9613
13.65  1.96443
13.85  1.96929
14.05  1.97527
14.25  1.98168
14.45  1.98779
14.65  1.99287
14.85  1.99619
15.05  1.99709
15.25  1.99499
15.45  1.98943
15.65  1.9801
15.85  1.96686
16.05  1.94973
16.25  1.92896
16.45  1.90496
16.65  1.87833
16.85  1.84983
17.05  1.82037
17.25  1.79094
17.45  1.76259
17.65  1.73639
17.85  1.71334
18.05  1.69434
18.25  1.68014
18.45  1.67127
18.65  1.668
18.85  1.67033
19.05  1.67794
19.25  1.69022
19.45  1.70627
19.65  1.72491
19.85  1.7448
20.05  1.76442
20.25  1.78221
20.45  1.79666
20.65  1.80636
20.85  1.81011
21.05  1.80703
21.25  1.79657
21.45  1.77861
21.65  1.75349
21.85  1.72197
22.05  1.68521
22.25  1.64477
22.45  1.60246
22.65  1.56028
22.85  1.5203
23.05  1.48452
23.25  1.45475
23.45  1.4325
23.65  1.41889
23.85  1.4145
24.05  1.41941
24.25  1.43312
24.45  1.45458
24.65  1.48226
24.85  1.51421
25.05  1.54819
25.25  1.58181
25.45  1.61266
25.65  1.63847
25.85  1.65728
26.05  1.66752
26.25  1.66819
26.45  1.65883
26.65  1.63966
26.85  1.61151
27.05  1.57576
27.25  1.53433
27.45  1.48948
27.65  1.4437
27.85  1.39955
28.05  1.35952
28.25  1.32579
28.45  1.30019
28.65  1.28401
28.85  1.27793
29.05  1.28201
29.25  1.29564
29.45  1.31763
29.65  1.34624
29.85  1.37934
30.05  1.41452
30.25  1.44929
30.45  1.48118
30.65  1.50795
30.85  1.52773
31.05  1.53911
31.25  1.54124
31.45  1.53389
31.65  1.51744
31.85  1.49284
32.05  1.46158
32.25  1.42552
32.45  1.38681
32.65  1.34773
32.85  1.31056
33.05  1.27737
33.25  1.24999
33.45  1.2298
33.65  1.21772
33.85  1.21412
34.05  1.21884
34.25  1.23121
34.45  1.25009
34.65  1.27397
34.85  1.30107
35.05  1.32947
35.25  1.35725
35.45  1.38256
35.65  1.4038
35.85  1.41964
36.05  1.42916
36.25  1.43185
36.45  1.42762
36.65  1.41682
36.85  1.40016
37.05  1.37867
37.25  1.35363
37.45  1.32644
37.65  1.29858
37.85  1.27148
38.05  1.24645
38.25  1.2246
38.45  1.20681
38.65  1.19365
38.85  1.18542
39.05  1.18211
39.25  1.18344
39.45  1.1889
39.65  1.19779
39.85  1.20926
40.05  1.22241
40.25  1.23631
40.45  1.25007
40.65  1.26286
40.85  1.27401
41.05  1.28296
41.25  1.2893
41.45  1.29283
41.65  1.29346
41.85  1.29127
42.05  1.28645
42.25  1.27932
42.45  1.27026
42.65  1.2597
42.85  1.24812
43.05  1.23598
43.25  1.22377
43.45  1.21192
43.65  1.20084
43.85  1.19089
44.05  1.18238
44.25  1.17556
44.45  1.1706
44.65  1.16762
44.85  1.16665
45.05  1.16766
45.25  1.17055
45.45  1.17511
45.65  1.18109
45.85  1.18816
46.05  1.19593
46.25  1.20396
46.45  1.21177
46.65  1.21888
46.85  1.22482
47.05  1.22914
47.25  1.23146
47.45  1.23145
47.65  1.22893
47.85  1.2238
48.05  1.21611
48.25  1.20602
48.45  1.19385
48.65  1.18003
48.85  1.16509
49.05  1.14963
49.25  1.13431
49.45  1.11979
49.65  1.10669
49.85  1.09559
50.05  1.08695
50.25  1.08109
50.45  1.07818
50.65  1.07824
50.85  1.0811
51.05  1.08642
51.25  1.09372
51.45  1.10238
51.65  1.11173
51.85  1.12102
52.05  1.12951
52.25  1.1365
52.45  1.1414
52.65  1.14373
52.85  1.14317
53.05  1.13958
53.25  1.13304
53.45  1.12379
53.65  1.11226
53.85  1.09905
54.05  1.08487
54.25  1.0705
54.45  1.05678
54.65  1.04449
54.85  1.03438
55.05  1.02706
55.25  1.02299
55.45  1.02243
55.65  1.02546
55.85  1.03193
56.05  1.04147
56.25  1.05353
56.45  1.0674
56.65  1.08225
56.85  1.09718
57.05  1.11126
57.25  1.12361
57.45  1.13342
57.65  1.14005
57.85  1.143
58.05  1.14203
58.25  1.13708
58.45  1.12836
58.65  1.1163
58.85  1.10153
59.05  1.08485
59.25  1.06722
59.45  1.04962
59.65  1.03309
59.85  1.01861
60.05  1.00706
60.25  0.999185
60.45  0.995509
60.65  0.996338
60.85  1.00172
61.05  1.01146
61.25  1.02509
61.45  1.04194
61.65  1.06112
61.85  1.08163
62.05  1.10234
62.25  1.12212
62.45  1.13988
62.65  1.15461
62.85  1.16546
63.05  1.17178
63.25  1.17319
63.45  1.16953
63.65  1.16096
63.85  1.14789
64.05  1.13099
64.25  1.11114
64.45  1.0894
64.65  1.06693
64.85  1.04496
65.05  1.02469
65.25  1.00725
65.45  0.993619
65.65  0.984577
65.85  0.980669
66.05  0.982166
66.25  0.989051
66.45  1.00102
66.65  1.01749
66.85  1.03764
67.05  1.06045
67.25  1.08474
67.45  1.10928
67.65  1.1328
67.85  1.15407
68.05  1.172
68.25  1.18568
68.45  1.19441
68.65  1.19776
68.85  1.19559
69.05  1.18806
69.25  1.1756
69.45  1.15892
69.65  1.13896
69.85  1.11682
70.05  1.09373
70.25  1.07097
70.45  1.0498
70.65  1.03139
70.85  1.01678
71.05  1.0068
71.25  1.00203
71.45  1.00277
71.65  1.00906
71.85  1.02059
72.05  1.03684
72.25  1.05699
72.45  1.08004
72.65  1.10485
72.85  1.13018
73.05  1.15477
73.25  1.17741
73.45  1.19702
73.65  1.21266
73.85  1.22362
74.05  1.22946
74.25  1.22998
74.45  1.2253
74.65  1.21579
74.85  1.20209
75.05  1.18505
75.25  1.16568
75.45  1.14511
75.65  1.12452
75.85  1.10507
76.05  1.08784
76.25  1.0738
76.45  1.0637
76.65  1.05811
76.85  1.05732
77.05  1.06136
77.25  1.07002
77.45  1.08285
77.65  1.09915
77.85  1.11808
78.05  1.13867
78.25  1.15986
78.45  1.1806
78.65  1.19985
78.85  1.2167
79.05  1.23036
79.25  1.24024
79.45  1.24592
79.65  1.24725
79.85  1.24429
80.05  1.23731
80.25  1.22679
80.45  1.21339
80.65  1.1979
80.85  1.18119
81.05  1.16418
81.25  1.1478
81.45  1.1329
81.65  1.12026
81.85  1.11053
82.05  1.1042
82.25  1.10158
82.45  1.1028
82.65  1.10779
82.85  1.11632
83.05  1.12799
83.25  1.14224
83.45  1.15844
83.65  1.17585
83.85  1.19373
84.05  1.21131
84.25  1.22787
84.45  1.24274
84.65  1.25539
84.85  1.26535
85.05  1.27235
85.25  1.27622
85.45  1.27698
85.65  1.27476
85.85  1.26987
86.05  1.26272
86.25  1.2538
86.45  1.24372
86.65  1.23311
86.85  1.22261
87.05  1.21286
87.25  1.20446
87.45  1.19792
87.65  1.19367
87.85  1.19201
88.05  1.19314
88.25  1.19708
88.45  1.20375
88.65  1.2129
88.85  1.22418
89.05  1.23711
89.25  1.25114
89.45  1.26564
89.65  1.27997
89.85  1.29348
90.05  1.30553
90.25  1.31557
90.45  1.32312
90.65  1.32783
90.85  1.32945
91.05  1.32792
91.25  1.32328
91.45  1.31575
91.65  1.30569
91.85  1.29356
92.05  1.27995
92.25  1.2655
92.45  1.25093
92.65  1.23693
92.85  1.22418
93.05  1.21333
93.25  1.20491
93.45  1.19936
93.65  1.19697
93.85  1.19789
94.05  1.20211
94.25  1.20948
94.45  1.21968
94.65  1.23229
94.85  1.24676
95.05  1.26246
95.25  1.27872
95.45  1.29485
95.65  1.31018
95.85  1.32407
96.05  1.33598
96.25  1.34548
96.45  1.35224
96.65  1.3561
96.85  1.35703
97.05  1.35513
97.25  1.35068
97.45  1.34403
97.65  1.33566
97.85  1.32613
98.05  1.31602
98.25  1.30596
98.45  1.29654
98.65  1.28829
98.85  1.2817
99.05  1.27714
99.25  1.27486
99.45  1.275
99.65  1.27754
99.85  1.28237
100.05  1.28923
100.25  1.29776
100.45  1.30751
100.65  1.31799
100.85  1.32867
101.05  1.33901
101.25  1.34852
101.45  1.35674
101.65  1.36332
101.85  1.36799
102.05  1.3706
102.25  1.37113
102.45  1.36968
102.65  1.36647
102.85  1.3618
103.05  1.35608
103.25  1.34977
103.45  1.34337
103.65  1.33736
103.85  1.33222
104.05  1.32837
104.25  1.32613
104.45  1.32574
104.65  1.32732
104.85  1.33087
105.05  1.33627
105.25  1.34329
105.45  1.35159
105.65  1.36075
105.85  1.3703
106.05  1.37975
106.25  1.3886
106.45  1.39639
106.65  1.40271
106.85  1.40724
107.05  1.40976
107.25  1.41018
107.45  1.40851
107.65  1.4049
107.85  1.39959
108.05  1.39295
108.25  1.38538
108.45  1.37737
108.65  1.36942
108.85  1.36201
109.05  1.35562
109.25  1.35063
109.45  1.34736
109.65  1.34604
109.85  1.34676
110.05  1.34953
110.25  1.35424
110.45  1.36066
110.65  1.36851
110.85  1.37742
111.05  1.38698
111.25  1.39678
111.45  1.40641
111.65  1.41549
111.85  1.4237
112.05  1.43079
112.25  1.43659
112.45  1.44104
112.65  1.44414
112.85  1.446
113.05  1.4468
113.25  1.44677
113.45  1.44621
113.65  1.44539
113.85  1.44462
114.05  1.44418
114.25  1.44429
114.45  1.44513
114.65  1.44681
114.85  1.44934
115.05  1.45269
115.25  1.45672
115.45  1.46125
115.65  1.46603
115.85  1.4708
116.05  1.47524
116.25  1.47909
116.45  1.48208
116.65  1.48398
116.85  1.48465
117.05  1.48399
117.25  1.482
117.45  1.47878
117.65  1.47447
117.85  1.46933
118.05  1.46366
118.25  1.4578
118.45  1.45214
118.65  1.44707
118.85  1.44294
119.05  1.44009
119.25  1.43879
119.45  1.43923
119.65  1.44154
119.85  1.44572
