# Table format: 0D
31                    Gas properties model - Janaf

89.5841988            Molar weight (M)                                                          [g/mol]

300.0                 Minimum temperature allowed for specific heat expression (tmincp1)        [K]
5000.0                Maximum temperature allowed for specific heat expression (tmaxcp2)        [K]
1000.0                Intermediate temperature allowed for specific heat expression (tmidcp)    [K]

-0.119303654403316    UPPER TEMPERATURE constant coefficient for specific heat Cp               [null]
0.0666943472116284    Temperature coefficient for specific heat Cp                              [null]
-3.53089829053539e-05 Square temperature coefficient for specific heat Cp                       [null]
7.90333440971871e-09  Cubic temperature coefficient for specific heat Cp (Janaf)                [null]
-6.35141112563272e-13 Square temperature coefficient for specific heat Cp (Janaf)               [null]
-336.109055088411     Constant coefficient for enthalpy (Janaf)                                 [null]
0.0                   Constant coefficient for entropy (Janaf)                                  [null]

-0.864647808773957    LOWER TEMPERATURE constant coefficient for specific heat Cp               [null]
0.0709814924692177    Temperature coefficient for specific heat Cp                              [null]
-4.95475584244517e-05 Square temperature coefficient for specific heat Cp                       [null]
2.5126253704454e-08   Cubic temperature coefficient for specific heat Cp (Janaf)                [null]
-7.10451868004828e-12 Square temperature coefficient for specific heat Cp (Janaf)               [null]
0.0                   Constant coefficient for enthalpy (Janaf)                                 [null]
0.0                   Constant coefficient for entropy (Janaf)                                  [null]

-155474.68            Enthalpy of formation (Janaf)                                             [J/mol]

250.0                 Minimum temperature allowed for absolute viscosity expression (tminmu)    [K]
1600.0                Maximum temperature allowed for absolute viscosity expression (tmaxmu)    [K]
250.0                 Minimum temperature allowed for thermal conductivity expression (tminlam) [K]
1600.0                Maximum temperature allowed for thermal conductivity expression (tmaxlam) [K]

-12.2170000000015     Constant coefficient for absolute viscosity (microP)                      [null]
0.180990000000008     Temperature coefficient for absolute viscosity                            [null]
-8.99489999999989e-06 Square temperature coefficient for absolute viscosity                     [null]

-0.00812000000000257  Constant coefficient for thermal conductivity                             [null]
2.91500000000108e-05  Temperature coefficient for thermal conductivity                          [null]
7.2084999999997e-08   Square temperature coefficient for thermal conductivity                   [null]
