# Table format: 0D
3001        Gas properties model - linear

295.0       Intake temperature                              [K]
700.0       Exhaust temperature                             [K]

1040.62     Intake constant-pressure specific heat (cpint)  [J/kg/K]
1111.91     Exhaust constant-pressure specific heat (cpexh) [J/kg/K]

296.947     Perfect gas constant (r)                        [J/kg/K]

1.7292e-05  Intake absolute viscosity (muint)               [kg/m/s]
3.24404e-05 Exhaust absolute viscosity (muexh)              [kg/m/s]

0.024232    Intake thermal conductivity (lambint)           [W/m/K]
0.0500053   Exhaust thermal conductivity (lambexh)          [W/m/K]

-110527.0   Enthalpy of formation                           [J/mol]
