# Table format: 0D
4            Gas properties model - PN

100000.0     Reference pressure                                                     [PaA]
300.0        Reference temperature                                                  [K]
1540.34      Reference constant-pressure specific heat cp                           [J/kg/K]
197.965      Perfect gas constant (r)                                               [J/kg/K]
8.68036e-06  Reference absolute viscosity                                           [kg/m/s]
0.0172867    Reference thermal conductivity                                         [W/m/K]

200.0        Minimum temperature allowed                                            [K]
2500.0       Maximum temperature allowed                                            [K]

1.14722      Constant coefficient for constant-pressure specific heat cp            [null]
0.00178497   Temperature coefficient for constant-pressure specific heat cp         [null]
-4.59834e-07 Squared temperature coefficient for constant-pressure specific heat cp [null]

0.0847629    Constant coefficient for absolute viscosity                            [null]
0.000637947  Temperature coefficient for absolute viscosity                         [null]
-2.15502e-07 Squared temperature coefficient for absolute viscosity                 [null]

1.0          Constant coefficient for thermal conductivity                          [null]
0.00662299   Temperature coefficient for thermal conductivity                       [null]
3.79239e-06  Squared temperature coefficient for thermal conductivity               [null]

20410.0      Enthalpy of formation                                                  [J/mol]
