# Table format: 0D
4            Gas properties model - PN

100000.0     Reference pressure                                                     [PaA]
300.0        Reference temperature                                                  [K]
845.861      Reference constant-pressure specific heat cp                           [J/kg/K]
188.966      Perfect gas constant (r)                                               [J/kg/K]
1.51302e-05  Reference absolute viscosity                                           [kg/m/s]
0.0166902    Reference thermal conductivity                                         [W/m/K]

200.0        Minimum temperature allowed                                            [K]
2500.0       Maximum temperature allowed                                            [K]

1.08463      Constant coefficient for constant-pressure specific heat cp            [null]
0.000616795  Temperature coefficient for constant-pressure specific heat cp         [null]
-1.70515e-07 Squared temperature coefficient for constant-pressure specific heat cp [null]

0.0745635    Constant coefficient for absolute viscosity                            [null]
0.000596829  Temperature coefficient for absolute viscosity                         [null]
-1.72263e-07 Squared temperature coefficient for absolute viscosity                 [null]

1.0          Constant coefficient for thermal conductivity                          [null]
0.0052962    Temperature coefficient for thermal conductivity                       [null]
-1.33264e-06 Squared temperature coefficient for thermal conductivity               [null]

-393522.0    Enthalpy of formation                                                  [J/mol]
