# heat exchanger internal pressure drop preprocessing tool file
#cross-sectional area [mm**2]:	7350
#hydraulic diameter [mm]:	9.0741
#frontal area [mm**2]:	10000
#fluid:	pure water
Pin	Tin	Tout	dmint	dPint
barA	degC	degC	kg/s	Pa
2.013	105	91	0.1	350
2.013	105	91	0.2	650
2.013	105	93	0.3	1000
2.013	105	94	0.4	1300
2.013	105	95	0.5	1600
2.013	105	95	0.6	2000
2.013	105	95	0.7	2350
2.013	105	97	0.9	2700
2.013	105	97	1	3150
2.013	105	98	1.1	3500
2.013	105	98	1.3	4500
2.013	105	99	1.5	5200
2.013	105	100	2	7000
2.013	105	100	2.2	8500
