# THH zeta=f(Re) preprocessing tool file
#cross-sectional area [mm**2]:	100
#hydraulic diameter [mm]:	10
#fluid:	simple coolant
#frontal area [mm**2]:	10000
Pin	Tin	dm	dP
barA	degC	g/s	bar
1.0131	20.00	7.0000	0.00010
1.0132	20.00	11.9520	0.00020
1.0134	20.00	18.9550	0.00040
1.0137	20.00	26.2190	0.00070
1.0140	20.00	31.7490	0.00100
1.0150	20.00	45.2720	0.00200
1.0160	20.00	55.4950	0.00300
1.0180	20.00	71.6560	0.00500
1.0200	20.00	84.7850	0.00700
1.0250	20.00	111.0100	0.01200
1.0300	20.00	132.1280	0.01700
1.0350	20.00	150.3090	0.02200
1.0500	20.00	194.9280	0.03700
1.1000	20.00	298.9080	0.08700
1.2000	20.00	438.2350	0.18700
1.5000	20.00	707.2470	0.48700
2.0000	20.00	1006.9100	0.98700
2.5000	20.00	1235.9700	1.48700
3.0000	20.00	1428.7900	1.98700
5.0000	20.00	2024.1500	3.98700
