# Table format: 0D
20
    1.00000000000000e+005 Pref             [PaA]
    1.00000000000000e+001 Tref             [degC]
    8.64552795548686e+002 Rhoref           [kg/m**3]
    3.22333021165392e-002 Muref            [kg/m/s]
    1.81620000000000e+003 Cpref            [J/kg/K]
    1.33384307474195e-001 Lambdaref        [W/m/K]
    0.00000000000000e+000 Pmin             [PaA]
    500.000000000000e+005 Pmax             [PaA]
    -5.0000000000000e+001 Tmin             [degC]
    2.00000000000000e+002 Tmax             [degC]
    8.15494160409740e-004 T      for vs          
    9.06952659415692e-007 T2     for vs          
   -6.89016695626686e-010 P      for vs          
   -3.36537842426218e-012 PT     for vs          
    2.13698144516895e-018 P2     for vs          
   -1.53178713398960e-002 T      for mu          
    6.00235710773157e-005 T2     for mu          
    9.37774557379481e-009 P      for mu          
    2.30000000000000e-003 T      for cp          
    0.00000000000000e+000 T2     for cp          
    0.00000000000000e+000 PT     for cp          
    0.00000000000000e+000 P      for cp          
   -5.62886166593595e-004 T      for lambda      
    4.05749950267487e-009 T2     for lambda      
    1.32429339703794e-020 P2T    for vs          
    4.70568644595927e-023 P2T2   for vs          
   -1.36729312317965e-014 PT2    for vs          
    0.00000000000000e+000 P3     for vs          
    0.00000000000000e+000 P3T    for vs          
    0.00000000000000e+000 P3T2   for vs          
   -5.49134128181175e-011 PT     for mu          
    0.00000000000000e+000 P2     for mu          
    0.00000000000000e+000 P2T    for mu          
    0.00000000000000e+000 P2T2   for mu          
    3.15869488133505e-013 PT2    for mu          
    0.00000000000000e+000 P3     for mu          
    0.00000000000000e+000 P3T    for mu          
    0.00000000000000e+000 P3T2   for mu          
   -8.96586007032264e-008 T3     for mu          
   -5.42756050016803e-016 PT3    for mu          
    0.00000000000000e+000 P2T3   for mu          
    0.00000000000000e+000 P3T3   for mu          
    2.08951326649291e-020 P      for lambda      
   -3.48502470046040e-022 PT     for lambda      
   -9.95506709065646e-028 P2     for lambda      
    1.70504266630035e-029 P2T    for lambda      
   -5.34093522025708e-032 P2T2   for lambda      
    1.08176031585327e-024 PT2    for lambda      
    1.16288206724649e-035 P3     for lambda      
   -2.02073936885719e-037 P3T    for lambda      
    6.36116316319013e-040 P3T2   for lambda      
    0.00000000000000e+000 P2     for cp          
    0.00000000000000e+000 P2T    for cp          
    0.00000000000000e+000 P3     for cp          
    0.00000000000000e+000 P3T    for cp          
    0.00000000000000e+000 P4     for cp          
    0.00000000000000e+000 P4T    for cp          
