# Table format: 0D
20
    1.00000000000000e+005 Pref             [PaA]
    1.00000000000000e+001 Tref             [degC]
    1.02293704555041e+003 Rhoref           [kg/m**3]
    3.20803009651703e-002 Muref            [kg/m/s]
    1.75448079972388e+003 Cpref            [J/kg/K]
    1.36788208159220e-001 Lambdaref        [W/m/K]
    0.00000000000000e+000 Pmin             [PaA]
    500.000000000000e+005 Pmax             [PaA]
    -5.0000000000000e+001 Tmin             [degC]
    1.80000000000000e+002 Tmax             [degC]
    8.15065715679006e-004 T      for vs          
    9.25018489309832e-007 T2     for vs          
   -8.83832596073042e-010 P      for vs          
   -5.55636583035178e-012 PT     for vs          
    3.96996537580057e-018 P2     for vs          
   -1.37151825494906e-002 T      for mu          
    4.35899818971360e-005 T2     for mu          
    9.82788317840712e-009 P      for mu          
    1.50822394515637e-003 T      for cp          
   -4.87416750878224e-009 T2     for cp          
   -1.03082011005047e-012 PT     for cp          
   -2.91876714160791e-010 P      for cp          
   -1.07366603020160e-003 T      for lambda      
    7.48260415828919e-010 T2     for lambda      
    2.89978500339173e-020 P2T    for vs          
   -5.94466132072693e-023 P2T2   for vs          
    1.09545949494267e-014 PT2    for vs          
    0.00000000000000e+000 P3     for vs          
    0.00000000000000e+000 P3T    for vs          
    0.00000000000000e+000 P3T2   for vs          
   -1.19409608728152e-010 PT     for mu          
    0.00000000000000e+000 P2     for mu          
    0.00000000000000e+000 P2T    for mu          
    0.00000000000000e+000 P2T2   for mu          
    7.50006501395135e-013 PT2    for mu          
    0.00000000000000e+000 P3     for mu          
    0.00000000000000e+000 P3T    for mu          
    0.00000000000000e+000 P3T2   for mu          
   -4.78493538239468e-008 T3     for mu          
   -1.50078937524241e-015 PT3    for mu          
    0.00000000000000e+000 P2T3   for mu          
    0.00000000000000e+000 P3T3   for mu          
   -1.25652425071504e-020 P      for lambda      
    6.11516650052440e-022 PT     for lambda      
    6.12060531882061e-028 P2     for lambda      
   -2.92341841463355e-029 P2T    for lambda      
    1.15474068116030e-031 P2T2   for lambda      
   -2.42092711491514e-024 PT2    for lambda      
   -7.19626818117404e-036 P3     for lambda      
    3.40938579562112e-037 P3T    for lambda      
   -1.34544370284462e-039 P3T2   for lambda      
   -1.72828501038216e-018 P2     for cp          
   -6.10377895243567e-021 P2T    for cp          
    6.25251723125775e-027 P3     for cp          
    2.20819962255262e-029 P3T    for cp          
    0.00000000000000e+000 P4     for cp          
    0.00000000000000e+000 P4T    for cp          
