# Table format: 0D
20
    1.01325000000000e+005 Pref             [PaA]
    2.00000000000000e+001 Tref             [degC]
    7.89760000000000e+002 Rhoref           [kg/m**3]
    1.19830000000000e-003 Muref            [kg/m/s]
    2.51080000000000e+003 Cpref            [J/kg/K]
    1.66390000000000e-001 Lambdaref        [W/m/K]
    0.00000000000000e+000 Pmin             [PaA]
    4.00000000000000e+007 Pmax             [PaA]
   -2.00000000000000e+001 Tmin             [degC]
    7.30000000000000e+001 Tmax             [degC]
    1.08028957249604e-003 T      for vs          
    2.40632198981941e-006 T2     for vs          
   -1.08282577705354e-009 P      for vs          
   -9.09446458820882e-012 PT     for vs          
    4.62264317654322e-018 P2     for vs          
   -8.58577814629112e-003 T      for mu          
    2.26493555942325e-005 T2     for mu          
    2.42877192196856e-009 P      for mu          
    4.69743931560414e-003 T      for cp          
    1.12404870750994e-006 T2     for cp          
   -1.63369972405690e-011 PT     for cp          
   -3.94313401913992e-010 P      for cp          
   -1.48371282442321e-003 T      for lambda      
    2.63461208115429e-006 T2     for lambda      
    8.05214288676458e-020 P2T    for vs          
    6.79095843259992e-021 P2T2   for vs          
   -1.18907803385727e-013 PT2    for vs          
    5.58519086575214e-027 P3     for vs          
   -4.00229356214648e-028 P3T    for vs          
   -1.31437893983243e-028 P3T2   for vs          
    1.88148728293756e-011 PT     for mu          
    2.17373338308680e-018 P2     for mu          
   -4.46599430079549e-019 P2T    for mu          
   -1.77330271576078e-020 P2T2   for mu          
    2.87864213511622e-013 PT2    for mu          
   -2.59537523889441e-025 P3     for mu          
    7.08729405724179e-027 P3T    for mu          
    3.56528917492988e-028 P3T2   for mu          
   -5.84845014739470e-008 T3     for mu          
   -3.73017715727616e-015 PT3    for mu          
    3.23392883580969e-022 P2T3   for mu          
   -7.01105428676372e-030 P3T3   for mu          
    3.24378798396230e-009 P      for lambda      
    9.40887732859788e-012 PT     for lambda      
   -8.48672661968219e-018 P2     for lambda      
   -4.28565022379914e-020 P2T    for lambda      
   -1.17966231498853e-020 P2T2   for lambda      
    1.51948421951318e-013 PT2    for lambda      
   -1.73078727616188e-026 P3     for lambda      
   -1.86524036257420e-028 P3T    for lambda      
    2.35265676723530e-028 P3T2   for lambda      
   -2.56456058705822e-017 P2     for cp          
    7.77085389726416e-020 P2T    for cp          
    1.80077310486967e-024 P3     for cp          
    2.34242854909694e-026 P3T    for cp          
   -3.37263935988909e-032 P4     for cp          
   -6.24773602218469e-034 P4T    for cp          
